Date,storage_level_idx
2025-06-06,-13.358381299913034
2025-06-13,-12.723450843438215
2025-06-20,-12.033290377575753
2025-06-27,-11.26232312405584
2025-07-04,-10.505103960911697
2025-07-11,-9.741237069847273
2025-07-18,-8.962532446150277
2025-07-25,-8.201074627170584
2025-08-01,-7.377358099721064
2025-08-08,-6.62918266854831
2025-08-15,-5.815608861779552
2025-08-22,-5.09719908235158
2025-08-29,-4.472935254613844
2025-09-05,-3.8847426455441223
2025-09-12,-3.2676657009775454
2025-09-19,-2.5829041700318385
2025-09-26,-1.9041947180751748
2025-10-03,-1.3481570317832166
2025-10-10,-0.8021459156453972
2025-10-17,-0.24703211685147153
2025-10-24,0.37407782447466786
2025-10-31,1.092016853413483
2025-11-07,1.803584488671092
2025-11-14,2.668178382806829
2025-11-21,3.452898715111985
2025-11-28,4.278296566875142
2025-12-05,5.257607260803184
2025-12-12,5.863013987948619
2025-12-19,6.247155441194266
2025-12-26,6.420315408681361
2026-01-02,6.6454521126675985
2026-01-09,7.576061852671501
2026-01-16,8.500887902620434
2026-01-23,9.630082497277456
2026-01-30,10.486836356605082
2026-02-06,10.668824910467606
2026-02-13,10.544334208113654
2026-02-20,10.413206926661985
2026-02-27,10.478060675580394
2026-03-06,10.457273435748093
2026-03-13,10.520709407338643
2026-03-20,10.766264856932551
2026-03-27,10.931252836523441
2026-04-03,11.174944437743235
2026-04-10,11.486817837172126
2026-04-17,11.839179396260704
2026-04-24,12.293960989619237
2026-05-01,12.774196857497543
2026-05-08,13.225509198062397
2026-05-15,13.680167867029368
2026-05-22,14.162927977805325
2026-05-29,14.643800910735948
2026-06-05,15.139187937428773
2026-06-12,15.693903650067924
2026-06-19,16.24095709270894
2026-06-26,16.809354383284216
2026-07-03,17.444706196345777
2026-07-10,18.10629033258789
2026-07-17,18.766194043512286
2026-07-24,19.429863760063554
2026-07-31,20.091810805922265
2026-08-07,20.75605123801415
2026-08-14,21.420903558309647
